Index,UAW,UUCW,TCF,ECF,
1,9,160,0.89,0.76,
,,,,,
,,,,,
Index,UAW,UUCW,TCF,ECF,Effort
1,9,355,0.81,0.84,7970
2,8,445,0.99,0.99,7962
3,9,355,1.03,0.8,7935
4,8,350,0.9,0.91,7805
5,8,345,0.9,0.91,7758
6,8,345,0.99,0.99,7643
7,7,420,0.94,1.02,7532
8,8,340,1.03,0.8,7451
9,8,335,0.94,1.02,7449
10,7,415,1.025,0.98,7427
11,8,335,0.92,0.78,7406
12,8,330,0.85,0.89,7365
13,7,410,0.75,0.81,7350
14,7,405,1.02,1.085,7303
15,8,325,1.095,0.95,7252
16,8,325,0.92,0.78,7245
17,7,400,0.75,0.81,7166
18,7,390,0.965,0.755,7119
19,8,315,0.92,0.78,7111
20,8,315,1.05,0.95,7044
21,7,390,0.71,0.73,7040
22,7,395,1.02,1.085,7028
23,8,315,1.03,0.8,6942
24,7,305,0.965,0.755,6814
25,9,380,0.78,0.79,6809
26,8,375,0.98,0.97,6802
27,12,305,0.78,0.51,6787
28,7,305,1.08,0.77,6764
29,7,380,1.05,0.95,6761
30,7,300,0.85,0.89,6725
31,7,300,1.02,1.085,6690
32,7,300,1.08,0.77,6600
33,7,290,0.94,1.02,6474
34,6,355,0.95,0.92,6433
35,7,285,0.78,0.79,6416
36,8,290,0.94,1.02,6412
37,6,355,0.9,0.94,6400
38,7,285,0.71,0.73,6360
39,6,355,0.9,0.91,6337
40,18,610,0.72,0.67,6240
41,7,280,0.78,0.51,6232
42,7,280,1.03,0.8,6173
43,6,345,1,0.92,6160
44,6,340,1.095,0.95,6117
45,7,275,0.75,0.81,6062
46,19,500,1.03,0.8,6051
47,18,500,0.72,0.67,6048
48,18,500,0.85,0.89,6035
49,6,270,0.965,0.755,6024
50,18,485,0.85,0.88,6023
51,18,575,1.118,0.995,5993
52,18,495,0.85,0.88,5985
53,18,490,0.75,0.81,5971
54,18,490,0.81,0.84,5962
55,18,490,0.85,0.89,5944
56,17,575,0.85,0.88,5940
57,6,260,0.98,0.97,5927
58,17,480,0.85,0.89,5885
59,18,485,1.08,0.77,5882
60,6,325,0.72,0.67,5880
61,18,485,0.82,0.79,5880
62,6,330,0.96,0.96,5876
63,6,330,0.85,0.89,5873
64,18,485,1.095,0.95,5865
65,18,480,0.965,0.755,5863
66,18,480,0.98,0.97,5856
67,18,460,1.05,0.95,5800
68,17,565,1.03,0.8,5791
69,19,475,0.95,0.92,5782
70,6,250,1,0.92,5778
71,18,460,0.85,0.89,5775
72,12,375,0.92,0.78,3037
73,10,85,0.75,0.81,1917
74,6,115,0.9,1.05,1173
75,9,205,0.85,0.89,742
76,12,160,0.82,0.79,614
77,9,115,0.85,0.88,492
78,6,85,0.78,0.51,277
79,14,515,0.94,1.02,3593
80,12,185,1.03,0.8,1681
81,12,290,0.71,0.73,1344
82,9,150,1.05,0.95,1220
83,12,135,0.78,0.79,720
84,4,60,0.96,0.96,514
85,15,160,0.9,0.91,397
86,15,355,1.125,0.77,3684
87,18,145,1.08,0.77,1980
88,12,325,1.095,0.95,3950
89,6,90,1.02,1.085,1925
90,9,125,1.025,0.98,2175
91,9,120,1.118,0.995,2226
92,12,200,1,0.92,2640
93,9,175,0.95,0.92,2568
94,12,245,0.89,1.19,3042
95,6,140,0.965,0.755,1696
96,7,180,0.81,0.84,3670
97,7,155,0.9,0.94,2860
98,5,210,0.72,0.67,2740
99,6,340,0.8,0.74,3360
